region;city;cat;comerc;object;mark;date
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;1;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;2;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;3;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-01
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония;5;2020-03
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония;3;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-01
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;4;2020-03
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-02
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-02
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Океанариум;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Океанариум;3;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;3;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;3;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;2;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;1;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;4;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад;3;2020-02
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр;5;2020-03
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух;5;2020-02
Свердловская область;Екатеринбург;Развлечение;да;Квеструм Авантюра;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Центр искусств Главный проспект;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Центр искусств Главный проспект;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургская галерея современного искусства;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Галерея декоративно прикладного искусства Арт-Птица;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;5;2020-01
Свердловская область;Нижний Тагил;Музеи;да;Музей Уралвагонзавода;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;1;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей Невьянская икона;5;2020-03
Свердловская область;Нижний Тагил;Музеи;да;Историко-краеведческий музей;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Музей природы;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей природы;5;2020-02
Свердловская область;Алапаевск;Музеи;да;Дом-музей Чайковского;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-01
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;5;2020-03
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;4;2020-02
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;5;2020-01
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;5;2020-03
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;5;2020-02
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;4;2020-02
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;5;2020-01
Свердловская область;Березовский;Музеи;да;Березовский музей золота;5;2020-01
Свердловская область;Березовский;Музеи;да;Березовский музей золота;5;2020-01
Свердловская область;Березовский;Музеи;да;Березовский музей золота;3;2020-01
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;3;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;5;2020-01
Свердловская область;Верхотурье;Музеи;да;Верхотурский государственный историко-архитектурный музей-заповедник;5;2020-03
Свердловская область;Полевской;Музеи;да;Музейный комплекс Северская домна;5;2020-03
