region;city;cat;comerc;object;mark;date;mark_id
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03;104787043173789858341
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;4;2020-03;109527576434657709453
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03;110414081961214577559
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03;106441672332714888558
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-02;110274664837300180381
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;4;2020-04;104797279475058738270
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-04;105204597259473609432
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-03;109302031121792025916
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-03;102068663161767939298
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-03;109103597809318776388
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-02;113548521572252902350
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-02;102038450807268744890
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-04;111110530910771675778
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-04;106027707679819679522
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-03;111086699088764930544
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-03;117330737939210418922
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;4;2020-03;102323738961815640935
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-02;117284771989392032016
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-02;111714142443263731764
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-04;116000600705575238945
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-03;108473316171163795061
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-03;111086699088764930544
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-03;112668655597608150404
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-02;100777537759632902166
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;5;2020-02;106592318699276561706
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;1;2020-03;103819586076483835831
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;4;2020-03;107623933447824449305
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-03;113687995275293140392
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;2;2020-02;105866435290202726463
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-02;103780954621742752861
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;5;2020-02;100688142720078106001
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-04;108401550043444543480
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-03;102187940261282456801
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-03;111204653314170224992
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-02;101098367232061669344
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;5;2020-02;115946182525631956995
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-04;117935087200410660453
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;4;2020-03;114582758696245944135
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-03;116606741898724078337
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;4;2020-03;110691169611786652941
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-03;102389675487407941024
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;5;2020-03;105658815884179333907
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония;3;2020-04;103122787379286277640
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония;5;2020-03;106358033418911810106
